No,imageUrl,linkUrl,startDateTime,endDateTime,categories,brand,sort,title,description,specialFlag
20,/common/front/img/pj/top/banner_171101volume_c.jpg,/pjitem/list/?_alg=171101volume&count=60&sort=6&outlet=include&_dm=2&sid=trend_171101volume,2017/11/1 9:00,2018/7/25 9:00,BRA,PEACH JOHN,1,なりたいおっぱい,あなたの理想をかなえる\n“盛れる”ブラ特集,0
21,/common/front/img/pj/top/banner_171025pjdays_c.jpg,/pj/special/pjdays/?sid=trend_171025pjdays,2017/10/25 9:00,2018/7/25 9:00,BRA,PEACH JOHN,1,毎日つけたい“最高のフツウ”,"上下で￥3,960+税\n「PJ DAYS」に新作・新色登場",0
22,/common/front/img/pj/top/banner_171018eros_c.jpg,/pj/special/eros/?sid=trend_171018eros,2017/10/8 9:00,2018/7/25 9:00,BEAUTY,PEACH JOHN,1,EROS BEAUTY,「狙って、引き寄せ、誘わせる」\nイランイランとチュベローズの香り,0
23,/common/front/img/pj/top/banner_171011dressup_c.gif,/pjitem/list/?_al=171011dressup&outlet=include&count=60&_dm=2&sort=6&sid=trend_171011dressup,2017/10/11 9:00,2018/7/25 9:00,BRA,PEACH JOHN,1,Dress Upは下着から,着こなしにあったブラ\n選んでますか？,0
24,/common/front/img/pj/top/banner_171004braset_c.jpg,/pjitem/list/?_al=ym_171004braset&count=60&outlet=include&sort=6&_dm=2&sid=trend_171004braset,2017/10/4 9:00,2018/7/25 9:00,"BRA,ROOMWEAR",PEACH JOHN,1,"BRA SET￥1,980＋tax～","シンプルでカラバリ豊富！\n
人気のブラセットに新作＆新色登場",0
25,/common/front/img/pj/top/banner_170913dusty_c.jpg,/pjitem/list/?_al=170913dusty&count=60&outlet=include&_dm=2&sort=6&sid=trend_170913dusty,2017/9/13 9:00,2018/7/25 9:00,"BRA,ROOMWEAR",PEACH JOHN,1,Like an Antique Rose,大人の女性へ贈る\n甘すぎないピンク特集,0
26,/common/front/img/pj/top/banner_170913storestaff_c.jpg,/pj/special/storestaff/?sid=trend_170913storestaff,2017/9/13 9:00,2018/7/25 9:00,BRA,PEACH JOHN,1,OUR PJ FAVORITES TOP 10,"全国100名のスタッフが紹介する\n
本当に愛用しているアイテム！",0
27,/common/front/img/pj/top/banner_150513bustcare_c.jpg,/pj/special/bustcare/?sid=trend_150513bustcare,2015/5/13 9:00,2018/7/25 9:00,BEAUTY,PEACH JOHN,1,見せたいハ・ダ・カ,人気のケアアイテムで\n自分史上最強の愛されボディに,0
28,/common/front/img/pj/top/banner_170531blue_c.jpg,/pjitem/list/?_al=blue&outlet=include&_bcg=007&count=60&sort=6&_dm=2&itemSrcFlt=1&sid=trend_170531blue,2017/5/31 9:00,2018/7/25 9:00,BRA,PEACH JOHN,1,SOMETHING BLUE,"身につけるだけで幸運を引き寄せる\n
ブルーのアイテムをご紹介
",1
29,/common/front/img/pj/top/banner_170412maternity_c.jpg,/pj/special/pj17sm/Maternity/?sid=trend_170412maternity,2017/4/12 9:00,2018/7/25 9:00,"BRA,INNER",PEACH JOHN,1,mama body talk,"心とカラダが変化する\n
プレママ＆ママたちの下着事情
",0
30,/common/front/img/pj/top/banner_170920onepice_c.jpg,/pjitem/list/?_al=170412onepiece&count=60&outlet=include&sort=6&_dm=2&sid=trend_170412onepiece,2017/9/20 9:00,2018/7/25 9:00,"BRA,ROOMWEAR",PEACH JOHN,1,ONE PIECE×PEACH JOHN,"WEB限定！大人気コラボアイテムが再入荷\n数量限定でノベルティプレゼント♪
",0
31,/common/front/img/pj/top/banner_160330pink_c.jpg,/pjitem/list/?_al=pink&outlet=include&_bcg=002&count=60&sort=6&_dm=2&itemSrcFlt=1&sid=trend_160330pink,2016/3/30 9:00,2018/7/25 9:00,BRA,PEACH JOHN,1,Everyday PINK,みんな大好き！ピンクのブラや\nルームウエアを集めました,1
32,/common/front/img/pj/top/banner_170830voice_c.jpg,/pj/special/voice/?sid=trend_160502voice,2017/8/30 9:00,2018/7/25 9:00,BRA,PEACH JOHN,1,口コミ大募集,毎月抽選で人気商品をプレゼント！\n1/31(水)12:00まで,1
33,/common/front/img/pj/top/banner_160112repeat_c.jpg,http://regular.peachjohn.co.jp/fm/bb/?wmpref=hp_trend,2016/1/12 9:00,2018/7/25 9:00,BEAUTY,PEACH JOHN,1,ずっと最大20％OFF＆送料無料！,人気のボディケアアイテムの\nお得な「定期便」コース,1
34,/common/front/img/pj/top/banner_160720care_c.jpg,/pj/info/care/?sid=trend_care,2016/7/21 9:00,9999/7/25 9:00,"BRA,INNER,ROOMWEAR,FASHION",PEACH JOHN,1,下着と洋服のお手入れ講座,お気に入りを長持ちさせるために。\n素材ごとのお手入れ方法やコツを詳しくご紹介！,1
35,/common/front/img/pj/top/banner_160720sizeguide_c.jpg,/pj/size/?sid=trend_size,2016/7/20 9:00,9999/7/25 9:00,"BRA,INNER,ROOMWEAR,FASHION",PEACH JOHN,1,SIZE GUIDE,サイズ選びに悩んだら、まずココをチェック！,1
36,/common/front/img/pj/top/banner_160720braadviser_c.jpg,/pj/special/braadviser/?sid=trend_braadviser,2016/7/20 9:00,9999/7/25 9:00,BRA,PEACH JOHN,1,ベストフィットなブラ選び,正しいフィッティング方法からPJの全ブラの機能まで余すことなくご紹介。,1
